epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,23223.3,0.20106,0.29983,0.11032,0.79765,0.99755,1,0.99486,0.99206,0.99755,1,0.99486,0.97569,0.15963,0.27178,0.08109,0.78509,0.002575,0.002575,0.002575
32,23898.6,0.19988,0.29759,0.10788,0.79773,0.99841,0.99942,0.99485,0.99219,0.99841,0.99942,0.99485,0.97559,0.15933,0.27124,0.08061,0.78491,0.0023275,0.0023275,0.0023275
33,24637.3,0.19884,0.29688,0.10682,0.79772,0.99831,0.99942,0.99463,0.99197,0.99831,0.99942,0.99463,0.97563,0.15907,0.27058,0.08064,0.78476,0.00208,0.00208,0.00208
34,25414.6,0.19723,0.29576,0.10538,0.79685,0.99836,0.99942,0.99486,0.99217,0.99836,0.99942,0.99486,0.97583,0.1587,0.2702,0.08049,0.78468,0.0018325,0.0018325,0.0018325
35,26204.6,0.19666,0.2946,0.10401,0.79666,0.99838,0.99942,0.99486,0.99221,0.99838,0.99942,0.99486,0.97599,0.15871,0.27002,0.08034,0.78464,0.001585,0.001585,0.001585
36,27006.1,0.19542,0.29303,0.10324,0.79725,0.99813,0.99942,0.99448,0.99161,0.99813,0.99942,0.99448,0.97535,0.1585,0.26973,0.07999,0.78456,0.0013375,0.0013375,0.0013375
37,27758,0.1947,0.29224,0.10169,0.79678,0.99815,0.99942,0.99481,0.99208,0.99815,0.99942,0.99481,0.97573,0.15833,0.26946,0.07977,0.7845,0.00109,0.00109,0.00109
38,28562.6,0.19308,0.29024,0.10054,0.79574,0.99818,0.99942,0.99486,0.99221,0.99818,0.99942,0.99486,0.97594,0.15816,0.2692,0.07947,0.78442,0.0008425,0.0008425,0.0008425
39,29354.9,0.19215,0.28916,0.0991,0.7966,0.99817,0.99942,0.99487,0.99223,0.99817,0.99942,0.99487,0.97583,0.15794,0.26903,0.07945,0.78433,0.000595,0.000595,0.000595
40,30157.9,0.19092,0.2879,0.09791,0.79637,0.99816,0.99942,0.99486,0.99225,0.99816,0.99942,0.99486,0.97594,0.15773,0.26886,0.0793,0.78429,0.0003475,0.0003475,0.0003475
