epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,34456.7,0.23351,0.3284,0.12417,0.80477,0.99955,0.99985,0.99478,0.9875,0.99949,0.9998,0.99478,0.96632,0.18801,0.29507,0.09299,0.78001,0.0028225,0.0028225,0.0028225
31,35561.5,0.23218,0.32765,0.1222,0.80462,0.99955,0.99985,0.99477,0.98746,0.99949,0.9998,0.99477,0.96626,0.18787,0.29462,0.09264,0.77995,0.002575,0.002575,0.002575
32,36741.7,0.2309,0.3255,0.12099,0.80458,0.99955,0.99985,0.9948,0.98756,0.99949,0.9998,0.9948,0.96633,0.18767,0.29415,0.09249,0.77985,0.0023275,0.0023275,0.0023275
33,37965,0.22917,0.3234,0.11933,0.80378,0.99955,0.99985,0.9948,0.98763,0.99949,0.9998,0.9948,0.96639,0.18745,0.29365,0.09242,0.77972,0.00208,0.00208,0.00208
34,39101.5,0.22847,0.32198,0.11829,0.8039,0.99955,0.99985,0.9948,0.98768,0.99949,0.9998,0.9948,0.9664,0.1872,0.29319,0.09217,0.77963,0.0018325,0.0018325,0.0018325
35,40250.7,0.22693,0.321,0.11686,0.80305,0.99955,0.99985,0.99479,0.9877,0.99949,0.9998,0.99479,0.96656,0.18699,0.29277,0.09202,0.77956,0.001585,0.001585,0.001585
36,41429.1,0.22603,0.31842,0.11587,0.8028,0.99955,0.99985,0.99479,0.98773,0.99949,0.9998,0.99479,0.96664,0.1868,0.29235,0.09198,0.77946,0.0013375,0.0013375,0.0013375
37,42495.6,0.22458,0.31729,0.11423,0.80219,0.99955,0.99985,0.99479,0.98779,0.99949,0.9998,0.99479,0.96669,0.18656,0.2919,0.09182,0.77936,0.00109,0.00109,0.00109
38,43618.6,0.22307,0.31483,0.11292,0.802,0.99955,0.99985,0.99479,0.9878,0.99949,0.9998,0.99479,0.9668,0.18637,0.29146,0.09172,0.77926,0.0008425,0.0008425,0.0008425
39,44761.2,0.22207,0.31396,0.11202,0.80194,0.99954,0.99985,0.9948,0.98785,0.99949,0.9998,0.9948,0.96692,0.18618,0.291,0.09157,0.77915,0.000595,0.000595,0.000595
40,46016.4,0.22091,0.31256,0.11041,0.8015,0.99961,0.99987,0.99481,0.98789,0.99952,0.99978,0.99481,0.96695,0.18609,0.29056,0.09163,0.77903,0.0003475,0.0003475,0.0003475
